COLOR,id_COLOR
Black/Aquamarine/Fireberry/White,274
Black/Archaeo Pink/Pink Foam,275
Black/Arctic Punch,276
Black/Arctic Punch/Arctic Punch,277
Black/Ash Green/Black,278
Black/Ash Green/Sail/University Red,279
Black/Atomic Green,280
Black/Atomic Orange,281
Black/Barely Volt/Black,282
Black/Barely Volt/Black/White,283
Black/Barely Volt/White/Metallic Red Bronze,284
Black/Binary Blue,285
Black/Black,286
Black/Black/Anthracite,287
Black/Black/Anthracite/Anthracite,288
Black/Black/Anthracite/Black,289
Black/Black/Anthracite/Grey Fog,290
Black/Black/Anthracite/White,291
Black/Black/Arctic Punch/White,292
Black/Black/Atomic Green,293
Black/Black/Atomic Green/White,294
Black/Black/Black,295
Black/Black/Black/Black,296
Black/Black/Black/Brushed Silver,297
Black/Black/Black/Chile Red,298
Black/Black/Black/Iron Grey,299
Black/Black/Black/Moon Fossil,300
Black/Black/Black/Safety Orange,301
Black/Black/Black/Sail,302
Black/Black/Black/Stealth,303
Black/Black/Black/Summit White,304
Black/Black/Black/Varsity Red,305
Black/Black/Black/White,306
Black/Black/Black/Wolf Grey,307
Black/Black/Bright Blue/Bright Blue,308
Black/Black/Bright Crimson,309
Black/Black/Bright Crimson/Bright Crimson,310
Black/Black/Bright Crimson/White,311
Black/Black/Chile Red,312
Black/Black/Club Gold,313
Black/Black/Coconut Milk,314
Black/Black/Cool Grey,315
Black/Black/Dark Grey,316
Black/Black/Dark Smoke Grey,317
Black/Black/Dark Smoke Grey/Black,318
Black/Black/Dark Smoke Grey/Dark Smoke Grey,319
Black/Black/Dark Smoke Grey/Light Smoke Grey,320
Black/Black/Dark Smoke Grey/White,321
Black/Black/Enigma Stone,322
Black/Black/Fire Red,323
Black/Black/Fireberry/Hyper Royal,324
Black/Black/Game Royal/Bright Crimson,325
Black/Black/Gum Light Brown/White,326
Black/Black/Gym Red,327
Black/Black/Habanero Red,328
Black/Black/Habanero Red/White,329
Black/Black/Heather/White,330
Black/Black/Hyper Royal/Hyper Royal,331
Black/Black/Infrared 23,332
Black/Black/Iron Grey,333
Black/Black/Ironstone,334
Black/Black/Laser Blue,335
Black/Black/Laser Orange/Green Strike,336
Black/Black/Light Bone,337
Black/Black/Light Smoke Grey,338
Black/Black/Metallic Gold,339
Black/Black/Metallic Gold/Action Grape,340
Black/Black/Metallic Red Bronze,341
Black/Black/Metallic Silver/Black,342
Black/Black/Moon Fossil,343
Black/Black/Multi-Colour,344
Black/Black/Off-Noir,345
